t`s	v(l3bl3)`V`float	v(l3bl5)`V`float	v(l3bl2)`V`float	v(l3bl6)`V`float	v(l3bl1)`V`float	v(l3bl7)`V`float	v(l3bl0)`V`float	v(l3bl8)`V`float	v(l3bl4)`V`float	v(l3bl9)`V`float
3.3568e-08	NULL	0.665434	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.608789
3.3584e-08	NULL	NULL	0.623953	0.608412	0.666121	0.651836	NULL	NULL	NULL	NULL
3.36e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.609959	NULL
3.3616e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.614701	0.575665	NULL	0.610538
3.3632e-08	NULL	NULL	0.625324	0.61052	NULL	NULL	NULL	NULL	NULL	NULL
3.3648e-08	NULL	NULL	NULL	NULL	NULL	0.652706	NULL	NULL	NULL	NULL
3.3664e-08	NULL	NULL	NULL	NULL	0.6689	NULL	NULL	NULL	NULL	NULL
3.368e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.616202	NULL	NULL	0.613015
3.3696e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.611473	NULL
3.3728e-08	NULL	0.670919	NULL	0.614887	0.670575	NULL	NULL	0.578135	NULL	0.614526
3.3744e-08	0.645837	NULL	NULL	NULL	NULL	NULL	0.617575	NULL	NULL	NULL
3.3776e-08	NULL	0.672131	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.3792e-08	NULL	NULL	0.630154	NULL	0.671855	NULL	NULL	NULL	NULL	NULL
3.3808e-08	0.646774	0.672773	NULL	NULL	NULL	NULL	NULL	0.579174	NULL	NULL
3.3824e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.618805	NULL	NULL	NULL
3.384e-08	NULL	NULL	0.631278	NULL	NULL	0.655195	NULL	NULL	NULL	NULL
3.3872e-08	0.647708	NULL	NULL	NULL	0.673044	NULL	NULL	NULL	NULL	0.618489
3.3888e-08	NULL	0.673903	NULL	0.620842	NULL	NULL	0.619538	NULL	NULL	NULL
3.392e-08	NULL	NULL	NULL	NULL	0.673456	NULL	NULL	NULL	NULL	NULL
3.3936e-08	NULL	NULL	NULL	0.621886	NULL	NULL	NULL	NULL	NULL	NULL
3.3952e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.581067	0.615767	NULL
3.3984e-08	NULL	0.674739	0.634262	NULL	0.674174	0.657851	0.620115	NULL	NULL	NULL
3.4e-08	0.650232	NULL	NULL	0.623291	NULL	NULL	NULL	0.582097	0.617031	0.621196
3.4048e-08	0.651664	NULL	NULL	NULL	NULL	NULL	0.621004	NULL	NULL	NULL
3.4064e-08	NULL	NULL	NULL	0.625104	NULL	NULL	NULL	0.584189	NULL	NULL
3.408e-08	NULL	NULL	NULL	NULL	0.675914	NULL	NULL	NULL	0.619636	NULL
3.4096e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.623678
3.4112e-08	NULL	0.676947	NULL	NULL	NULL	0.661109	0.622372	NULL	NULL	NULL
3.4128e-08	0.654284	NULL	NULL	NULL	0.677052	NULL	NULL	NULL	NULL	NULL
3.416e-08	NULL	NULL	0.639598	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.4176e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.624257	NULL	0.622105	NULL
3.4192e-08	NULL	NULL	NULL	0.627752	NULL	NULL	NULL	NULL	NULL	NULL
3.4208e-08	0.656367	NULL	NULL	NULL	NULL	0.662815	NULL	NULL	NULL	0.626236
3.4224e-08	NULL	NULL	0.641253	NULL	NULL	NULL	NULL	0.589529	NULL	NULL
3.424e-08	NULL	NULL	NULL	NULL	0.680341	NULL	NULL	NULL	NULL	NULL
3.4256e-08	NULL	NULL	NULL	0.628842	NULL	NULL	NULL	NULL	NULL	NULL
3.4272e-08	NULL	0.680034	NULL	NULL	NULL	NULL	0.62728	NULL	0.624486	NULL
3.4288e-08	NULL	NULL	0.642452	NULL	NULL	NULL	NULL	NULL	NULL	0.62772
3.4304e-08	0.658558	NULL	NULL	NULL	0.682069	0.664136	NULL	0.591616	NULL	NULL
3.432e-08	NULL	NULL	NULL	0.629597	NULL	NULL	NULL	NULL	NULL	NULL
3.4352e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.628667
3.4368e-08	NULL	0.680879	0.643897	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.4384e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.626858	NULL
3.44e-08	NULL	NULL	NULL	0.630219	NULL	NULL	NULL	NULL	NULL	NULL
3.4416e-08	0.660429	NULL	NULL	NULL	NULL	NULL	0.630713	NULL	NULL	0.629389
3.4432e-08	NULL	NULL	NULL	NULL	0.684885	NULL	NULL	NULL	0.627726	NULL
3.4464e-08	NULL	0.681378	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.629723
3.448e-08	NULL	NULL	NULL	NULL	NULL	0.665449	NULL	0.595789	NULL	NULL
3.4496e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.632364	NULL	0.628428	NULL
3.4512e-08	0.661817	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.4528e-08	NULL	NULL	NULL	0.630935	0.686241	NULL	NULL	NULL	NULL	0.629788
3.4544e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.597001	NULL	NULL
3.456e-08	0.662267	NULL	NULL	NULL	0.686563	0.665648	0.633259	NULL	0.628986	NULL
3.4608e-08	NULL	0.681874	NULL	0.631713	NULL	NULL	NULL	0.59779	NULL	NULL
3.4672e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.598336	NULL	NULL
3.4688e-08	NULL	NULL	0.649882	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.4704e-08	NULL	NULL	NULL	NULL	NULL	0.665542	NULL	NULL	NULL	NULL
3.472e-08	0.662777	NULL	NULL	NULL	0.687545	NULL	NULL	NULL	NULL	0.629587
3.4752e-08	NULL	NULL	0.650874	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.48e-08	NULL	NULL	NULL	0.634252	NULL	NULL	NULL	NULL	NULL	NULL
3.4816e-08	0.66259	NULL	NULL	NULL	NULL	NULL	NULL	0.599326	NULL	0.62986
3.4848e-08	NULL	NULL	NULL	0.634916	NULL	NULL	NULL	NULL	NULL	NULL
3.4864e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.636325	0.600066	0.630485	NULL
3.488e-08	NULL	NULL	0.652617	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.4896e-08	0.662595	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.630693
3.4912e-08	NULL	0.683262	NULL	NULL	0.688778	NULL	NULL	NULL	NULL	NULL
3.4928e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.601438	NULL	NULL
3.496e-08	NULL	NULL	0.653851	NULL	NULL	NULL	0.637755	NULL	0.631306	NULL
3.4992e-08	0.662845	NULL	NULL	0.637381	NULL	NULL	NULL	NULL	NULL	0.631994
3.5008e-08	NULL	0.683905	NULL	NULL	0.689465	NULL	NULL	0.603293	NULL	NULL
3.5024e-08	NULL	NULL	0.654492	NULL	NULL	NULL	0.638282	NULL	NULL	NULL
3.504e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.632526
3.5056e-08	NULL	NULL	NULL	0.638095	NULL	NULL	NULL	NULL	NULL	NULL
3.5072e-08	NULL	0.683974	NULL	NULL	NULL	NULL	NULL	0.604313	0.631761	NULL
3.5088e-08	NULL	NULL	0.654803	NULL	0.689776	NULL	0.63848	NULL	NULL	NULL
3.5104e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.632838
3.512e-08	NULL	NULL	NULL	0.638536	NULL	NULL	NULL	NULL	NULL	NULL
3.5136e-08	0.663276	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.5152e-08	NULL	0.683506	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.5168e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.605389	NULL	NULL
3.5264e-08	NULL	NULL	NULL	NULL	NULL	0.665636	0.638856	NULL	NULL	NULL
3.528e-08	0.663991	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.632254	NULL
3.5296e-08	NULL	NULL	NULL	0.63934	NULL	NULL	NULL	NULL	NULL	NULL
3.536e-08	0.664372	NULL	NULL	0.639771	0.68964	NULL	0.639516	NULL	0.632553	NULL
3.5376e-08	NULL	NULL	0.655548	NULL	NULL	NULL	NULL	0.60735	NULL	NULL
3.5456e-08	NULL	NULL	NULL	NULL	NULL	0.666458	NULL	NULL	NULL	NULL
3.5488e-08	NULL	0.681383	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.63374
3.552e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.607848	0.632493	NULL
3.5584e-08	0.664587	NULL	0.655712	NULL	NULL	NULL	0.640311	NULL	NULL	0.633692
3.5616e-08	NULL	0.680281	NULL	NULL	NULL	NULL	NULL	0.608229	0.632404	NULL
3.5648e-08	NULL	NULL	NULL	NULL	NULL	0.666995	NULL	NULL	NULL	NULL
3.568e-08	NULL	NULL	NULL	0.641065	NULL	NULL	NULL	NULL	NULL	NULL
3.5696e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.60858	NULL	NULL
3.5744e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.634244
3.576e-08	NULL	NULL	0.65653	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.5776e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.632785	NULL
3.5792e-08	NULL	NULL	NULL	NULL	NULL	0.667116	NULL	NULL	NULL	NULL
3.5808e-08	0.66473	0.6789	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.5824e-08	NULL	NULL	NULL	NULL	0.687971	NULL	NULL	0.608833	NULL	NULL
3.5872e-08	NULL	NULL	NULL	0.641263	NULL	NULL	NULL	NULL	NULL	NULL
3.5904e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.633726	0.635416
3.592e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.608757	NULL	NULL
3.5936e-08	NULL	0.678386	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.5952e-08	NULL	NULL	NULL	NULL	0.687577	NULL	NULL	NULL	NULL	NULL
3.5984e-08	NULL	NULL	NULL	NULL	NULL	0.667425	NULL	NULL	NULL	0.636067
3.6e-08	NULL	NULL	0.65807	NULL	NULL	NULL	0.64328	NULL	0.634256	NULL
3.6064e-08	NULL	NULL	NULL	0.641924	NULL	NULL	NULL	NULL	NULL	NULL
3.6096e-08	0.66456	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.636356
3.6128e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.60851	NULL	NULL
3.6176e-08	NULL	NULL	0.65827	NULL	NULL	NULL	NULL	NULL	0.634356	NULL
3.6192e-08	NULL	NULL	NULL	NULL	NULL	0.667922	NULL	NULL	NULL	NULL
3.6224e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.636365
3.6256e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.643828	NULL	0.634334	NULL
3.6288e-08	NULL	0.677491	NULL	0.642113	NULL	0.667896	NULL	NULL	NULL	NULL
3.632e-08	NULL	NULL	0.658012	NULL	NULL	NULL	NULL	0.608523	NULL	NULL
3.6384e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.643434	NULL	0.633925	NULL
3.6416e-08	NULL	0.676752	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.6448e-08	NULL	NULL	NULL	0.64166	0.68564	NULL	NULL	NULL	NULL	NULL
3.648e-08	NULL	NULL	NULL	NULL	NULL	0.667374	NULL	NULL	NULL	NULL
3.6544e-08	0.663448	NULL	NULL	NULL	NULL	NULL	NULL	0.608181	NULL	0.63597
3.6576e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.633182	NULL
3.6608e-08	NULL	NULL	NULL	0.641239	NULL	NULL	NULL	NULL	NULL	NULL
3.664e-08	NULL	0.675062	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.6672e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.642236	NULL	0.633043	NULL
3.6704e-08	NULL	NULL	0.657306	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.6736e-08	NULL	NULL	NULL	0.641216	NULL	NULL	NULL	NULL	NULL	NULL
3.6768e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.642115	NULL	0.633211	NULL
3.68e-08	NULL	0.673655	0.65723	NULL	NULL	NULL	NULL	0.608382	NULL	0.636583
3.6816e-08	0.663225	NULL	NULL	0.641606	0.68385	NULL	NULL	NULL	NULL	NULL
3.6832e-08	NULL	NULL	NULL	NULL	NULL	0.666226	NULL	NULL	NULL	NULL
3.6864e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.633872	NULL
3.6928e-08	NULL	NULL	0.657681	NULL	NULL	NULL	NULL	NULL	NULL	0.637265
3.696e-08	NULL	NULL	NULL	0.642489	NULL	NULL	NULL	NULL	NULL	NULL
3.6992e-08	NULL	NULL	NULL	NULL	NULL	0.666081	NULL	NULL	NULL	NULL
3.7024e-08	NULL	0.672223	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.704e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.609958	NULL	NULL
3.7056e-08	NULL	NULL	NULL	0.642974	NULL	NULL	NULL	NULL	NULL	0.637461
3.7088e-08	0.66446	NULL	NULL	NULL	NULL	NULL	0.642303	0.610072	0.635313	NULL
3.712e-08	NULL	NULL	NULL	NULL	NULL	0.66565	NULL	NULL	NULL	NULL
3.7152e-08	NULL	NULL	0.65839	0.64304	NULL	NULL	NULL	NULL	NULL	0.637263
3.7184e-08	0.664215	NULL	NULL	NULL	NULL	NULL	0.641972	NULL	0.635265	NULL
3.7216e-08	NULL	0.671008	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.7296e-08	NULL	NULL	NULL	0.643145	NULL	NULL	NULL	0.610288	NULL	NULL
3.7312e-08	NULL	NULL	0.658442	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.7344e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.635172	0.636793
3.736e-08	NULL	NULL	NULL	NULL	0.682278	NULL	NULL	NULL	NULL	NULL
3.7408e-08	0.663408	NULL	NULL	NULL	NULL	NULL	0.641222	NULL	NULL	NULL
3.744e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.611099	NULL	0.636845
3.7456e-08	NULL	NULL	NULL	0.64381	NULL	NULL	NULL	NULL	NULL	NULL
3.7472e-08	NULL	NULL	NULL	NULL	0.682009	NULL	NULL	NULL	NULL	NULL
3.7504e-08	0.663419	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.7536e-08	NULL	NULL	0.658995	NULL	NULL	0.663494	NULL	NULL	NULL	NULL
3.7568e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.612148	NULL	0.637468
3.76e-08	0.663685	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.7632e-08	NULL	0.668121	NULL	NULL	0.681449	NULL	NULL	NULL	NULL	NULL
3.7664e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.612835	NULL	NULL
3.7696e-08	NULL	NULL	NULL	0.645272	NULL	NULL	NULL	NULL	NULL	0.638195
3.7728e-08	0.664145	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.635328	NULL
3.7792e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.613254	NULL	NULL
3.7856e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.640622	NULL	NULL	0.638441
3.7888e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.635166	NULL
3.792e-08	NULL	NULL	NULL	0.645945	NULL	NULL	NULL	0.61342	NULL	NULL
3.7952e-08	NULL	0.666583	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.7984e-08	0.664358	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.8016e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.640227	NULL	0.63528	NULL
3.8048e-08	NULL	NULL	NULL	0.646281	0.679908	NULL	NULL	NULL	NULL	NULL
3.8144e-08	0.664318	NULL	0.659493	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.8176e-08	NULL	NULL	NULL	0.646481	NULL	NULL	NULL	NULL	0.635449	NULL
3.8208e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.63831
3.824e-08	NULL	NULL	NULL	NULL	NULL	0.661913	0.640078	0.613386	NULL	NULL
3.8336e-08	NULL	NULL	NULL	0.646621	NULL	0.661806	0.640017	NULL	0.635499	0.638374
3.84e-08	NULL	0.664861	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.8528e-08	NULL	NULL	0.658731	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.8592e-08	NULL	NULL	NULL	0.646207	NULL	0.661053	NULL	NULL	NULL	NULL
3.8752e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.612575	NULL	NULL
3.8848e-08	0.663075	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.888e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.63908	NULL	NULL	NULL
3.8912e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.612623	0.63474	0.637863
3.8976e-08	0.66318	0.66277	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.904e-08	NULL	NULL	0.657748	0.64547	0.677094	NULL	NULL	0.612796	0.634806	0.637991
3.9104e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.639056	NULL	NULL	NULL
3.9168e-08	0.663144	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.9232e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.634397	0.637666
3.9264e-08	NULL	NULL	NULL	0.645046	NULL	NULL	0.638616	NULL	NULL	NULL
3.936e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.612556	NULL	NULL
3.9424e-08	NULL	NULL	NULL	0.644634	NULL	NULL	0.638054	NULL	0.633699	0.63705
3.9488e-08	NULL	0.66163	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.968e-08	NULL	NULL	NULL	NULL	NULL	0.65762	NULL	NULL	NULL	NULL
3.9936e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.637207	NULL	NULL	NULL
4.0064e-08	NULL	NULL	0.656643	0.64418	0.675686	0.656861	NULL	NULL	NULL	0.636142
4.0128e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.611588	NULL	NULL
4.0192e-08	NULL	NULL	0.65632	NULL	NULL	NULL	NULL	NULL	0.632041	NULL
4.0256e-08	0.662388	0.660432	NULL	0.643948	0.675317	NULL	NULL	0.611057	NULL	0.635811
4.032e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.637026	NULL	NULL	NULL
4.0352e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.610545	NULL	NULL
4.0384e-08	NULL	NULL	0.655347	0.643655	0.67498	NULL	NULL	NULL	0.631006	0.635511
4.0448e-08	0.662523	0.660382	NULL	NULL	NULL	NULL	NULL	0.610387	NULL	NULL
4.0544e-08	NULL	NULL	NULL	0.643473	NULL	NULL	NULL	NULL	NULL	NULL
4.0576e-08	NULL	NULL	0.654853	NULL	NULL	0.656415	NULL	NULL	NULL	0.635323
4.064e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.610173	0.630316	NULL
4.0656e-08	NULL	NULL	NULL	0.643005	NULL	NULL	NULL	NULL	NULL	NULL
4.0672e-08	NULL	NULL	NULL	NULL	0.674662	NULL	NULL	NULL	NULL	NULL
4.0704e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.636849	NULL	NULL	NULL
4.0736e-08	NULL	NULL	NULL	NULL	NULL	0.656038	NULL	NULL	NULL	0.635001
4.0768e-08	NULL	NULL	0.653968	0.642594	NULL	NULL	NULL	NULL	0.630078	NULL
4.08e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.609839	NULL	NULL
4.0832e-08	0.663004	0.660511	NULL	NULL	0.67432	NULL	0.636626	NULL	NULL	NULL
4.0928e-08	NULL	NULL	0.653806	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.0992e-08	NULL	NULL	NULL	NULL	NULL	0.655959	NULL	NULL	NULL	NULL
4.1056e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.636231	NULL	NULL	NULL
4.1072e-08	NULL	0.660753	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.1088e-08	0.66348	NULL	NULL	NULL	0.673943	NULL	NULL	NULL	NULL	NULL
4.112e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.63458
4.1152e-08	NULL	NULL	NULL	0.641827	NULL	NULL	0.635749	NULL	NULL	NULL
4.1232e-08	NULL	0.661175	0.653521	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.1248e-08	NULL	NULL	NULL	NULL	NULL	0.655986	NULL	NULL	NULL	NULL
4.1264e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.629452	NULL
4.1312e-08	NULL	NULL	NULL	0.640978	NULL	NULL	NULL	0.609575	NULL	0.63388
4.1344e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.634378	NULL	NULL	NULL
4.1392e-08	NULL	NULL	NULL	NULL	0.673092	NULL	NULL	NULL	NULL	NULL
4.1408e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.629047	0.634051
4.144e-08	NULL	0.662144	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.1456e-08	NULL	NULL	NULL	0.640527	NULL	NULL	NULL	NULL	NULL	NULL
4.1472e-08	NULL	NULL	0.652586	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.1504e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.609498	NULL	NULL
4.152e-08	0.664988	NULL	NULL	NULL	NULL	NULL	0.633688	NULL	NULL	NULL
4.1536e-08	NULL	0.662712	NULL	0.640288	NULL	NULL	NULL	NULL	0.628617	0.634523
4.1568e-08	NULL	NULL	0.652437	NULL	0.673455	NULL	NULL	NULL	NULL	NULL
4.1632e-08	NULL	NULL	NULL	NULL	NULL	0.655488	0.633273	NULL	NULL	NULL
4.1648e-08	NULL	NULL	NULL	NULL	0.673524	NULL	NULL	NULL	NULL	NULL
4.1664e-08	NULL	NULL	NULL	0.640034	NULL	NULL	NULL	NULL	NULL	NULL
4.168e-08	NULL	NULL	0.652312	NULL	NULL	NULL	NULL	NULL	0.628416	NULL
4.1712e-08	NULL	NULL	NULL	NULL	NULL	0.654798	0.632558	NULL	NULL	NULL
4.1728e-08	NULL	NULL	NULL	NULL	0.673311	NULL	NULL	NULL	NULL	NULL
4.1744e-08	0.666474	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.176e-08	NULL	0.664371	0.652164	NULL	NULL	0.654394	0.632149	0.610312	0.628203	NULL
4.1792e-08	NULL	NULL	NULL	0.639357	NULL	NULL	NULL	NULL	NULL	NULL
4.184e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.610796	NULL	0.636156
4.1856e-08	NULL	0.665314	0.652213	NULL	NULL	NULL	NULL	NULL	0.628191	NULL
4.1888e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.610872	NULL	NULL
4.1904e-08	0.667709	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.1952e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.631304	NULL	NULL	NULL
4.1968e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.627945	0.63688
4.1984e-08	NULL	NULL	0.652035	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.2032e-08	NULL	NULL	NULL	NULL	0.672462	NULL	NULL	NULL	NULL	NULL
4.2048e-08	NULL	0.666846	NULL	0.6387	NULL	NULL	NULL	NULL	NULL	NULL
4.2064e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.610747	NULL	NULL
4.208e-08	NULL	NULL	NULL	NULL	NULL	0.652912	NULL	NULL	0.62784	0.637401
4.2128e-08	NULL	NULL	0.652026	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.2144e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.637518
4.216e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.630919	NULL	0.627552	NULL
4.2176e-08	NULL	0.66775	NULL	NULL	NULL	0.65242	NULL	0.610425	NULL	NULL
4.2192e-08	NULL	NULL	NULL	NULL	0.672656	NULL	NULL	NULL	NULL	NULL
4.2208e-08	NULL	NULL	0.651587	NULL	NULL	NULL	NULL	NULL	NULL	0.637314
4.2224e-08	0.669414	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.2272e-08	0.669615	0.668377	NULL	NULL	NULL	NULL	NULL	0.610041	NULL	0.637067
4.2288e-08	NULL	NULL	0.651185	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.2304e-08	NULL	NULL	NULL	0.639038	NULL	0.651495	NULL	NULL	NULL	NULL
4.232e-08	NULL	NULL	NULL	NULL	0.672638	NULL	NULL	NULL	NULL	NULL
4.2336e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.626787	NULL
4.2352e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.630132	NULL	NULL	0.63717
4.2368e-08	0.670449	0.669511	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.24e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.626569	NULL
4.2432e-08	NULL	NULL	NULL	0.639756	NULL	NULL	NULL	NULL	NULL	NULL
4.2448e-08	NULL	NULL	NULL	NULL	0.672562	NULL	0.629944	0.610372	NULL	0.637358
4.2496e-08	NULL	0.670917	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.2512e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.610619	NULL	NULL
4.2544e-08	NULL	NULL	NULL	0.640125	NULL	NULL	NULL	NULL	NULL	NULL
4.256e-08	NULL	NULL	NULL	NULL	0.67227	NULL	NULL	NULL	NULL	0.637552
4.2576e-08	0.672529	NULL	NULL	NULL	NULL	0.650403	NULL	NULL	NULL	NULL
4.2592e-08	NULL	NULL	0.650873	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4.264e-08	NULL	0.672232	NULL	NULL	NULL	NULL	0.629238	NULL	0.624763	0.637498
4.2656e-08	NULL	NULL	0.650738	NULL	NULL	NULL	NULL	0.611295	NULL	NULL
4.2672e-08	NULL	NULL	NULL	0.640727	NULL	0.649464	NULL	NULL	NULL	NULL
4.272e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.628389	0.611531	NULL	0.637184
4.2736e-08	NULL	NULL	0.650486	NULL	0.672053	0.648853	NULL	NULL	0.623875	NULL
4.2752e-08	NULL	NULL	NULL	0.641179	NULL	NULL	NULL	NULL	NULL	NULL
4.2768e-08	0.675165	NULL	NULL	NULL	NULL	NULL	0.628283	NULL	NULL	NULL
4.2784e-08	NULL	0.672765	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.63738
